surface	provenance	semantic_handle	code_form	principal_concern	candidate_id	second_pass	role
Attest	taste-wave:formal-linguistic	Makes evaluation evidence and claim support the central action.	attest / Attest	Certificate, legal, and trust-service associations.	taste-attest	unreviewed	unassigned
Collate	taste-wave:formal-linguistic	Assembles examples, traces, and program variants into comparable evidence.	collate / Collate	May sound like document-management software.	taste-collate	unreviewed	unassigned
Construe	taste-wave:formal-linguistic	Names interpretation from model language into explicit program meaning.	construe / Construe	Archaic and legal associations.	taste-construe	unreviewed	unassigned
Delimit	taste-wave:formal-linguistic	Typed signatures, schemas, and tool policies delimit execution.	delimit / Delimit	Can feel restrictive or utility-like.	taste-delimit	unreviewed	unassigned
Denote	taste-wave:formal-linguistic	Connects declared fields and program values to intended meaning.	denote / Denote	Abstract and broadly generic.	taste-denote	unreviewed	unassigned
Derive	taste-wave:formal-linguistic	Optimizers derive revised programs from examples and measured outcomes.	derive / Derive	May imply proof or guaranteed derivation.	taste-derive	unreviewed	unassigned
Emend	taste-wave:formal-linguistic	Measured feedback corrects durable textual program artifacts.	emend / Emend	Unfamiliar and easily mistaken for amend.	taste-emend	unreviewed	unassigned
Enact	taste-wave:formal-linguistic	A declaration becomes bounded BEAM execution and tool action.	enact / Enact	Legal and governance overtones.	taste-enact	unreviewed	unassigned
Inflect	taste-wave:formal-linguistic	Programs change form under context and evaluation while retaining intent.	inflect / Inflect	May suggest tone or style rather than program transformation.	taste-inflect	unreviewed	unassigned
Inscribe	taste-wave:formal-linguistic	Turns signatures and optimizer lineage into inspectable artifacts.	inscribe / Inscribe	Can narrow perception toward writing or publishing.	taste-inscribe	unreviewed	unassigned
Reify	taste-wave:formal-linguistic	Makes an abstract LM task an ordinary Elixir value that can run and transform.	reify / Reify	Insider jargon with pronunciation friction.	taste-reify	unreviewed	unassigned
Valence	taste-wave:formal-linguistic	Names the argument structure and compositional capacity of modules and tools.	valence / Valence	Strong chemistry and emotion associations.	taste-valence	unreviewed	unassigned
Burnish	taste-wave:craft-music-transformation	Iterative pressure improves a surface; suits evidence-led refinement.	burnish / Burnish	Can imply cosmetic rather than substantive improvement.	taste-burnish	unreviewed	unassigned
Sinter	taste-wave:craft-music-transformation	Joins particles into durable form without erasing their structure.	sinter / Sinter	Industrial and technically obscure.	taste-sinter	unreviewed	unassigned
Quench	taste-wave:craft-music-transformation	Fixes a transformed state at a deliberate evaluation checkpoint.	quench / Quench	Common usage can suggest stopping prematurely.	taste-quench	unreviewed	unassigned
Mandrel	taste-wave:craft-music-transformation	A stable core around which changing artifacts take shape; fits signatures and contracts.	mandrel / Mandrel	The tool metaphor may feel static.	taste-mandrel	unreviewed	unassigned
Spline	taste-wave:craft-music-transformation	Couples parts while transmitting controlled motion; also suggests smooth parameter change.	spline / Spline	Heavily overloaded in mathematics and CAD.	taste-spline	unreviewed	unassigned
Ratchet	taste-wave:craft-music-transformation	Advances through discrete trials while retaining the best known state.	ratchet / Ratchet	Can imply irreversible escalation.	taste-ratchet	unreviewed	unassigned
Ply	taste-wave:craft-music-transformation	Layers or twists strands into stronger material; terse and active in code.	ply / Ply	Extremely ambiguous.	taste-ply	unreviewed	unassigned
Takt	taste-wave:craft-music-transformation	Names the cadence coordinating iterative work across a system.	takt / Takt	Often misheard or misspelled as tact.	taste-takt	unreviewed	unassigned
Modulate	taste-wave:craft-music-transformation	Changes parameters while preserving coherent structure; directly fits optimization.	modulate / Modulate	Broad engineering term and relatively long.	taste-modulate	unreviewed	unassigned
Revoice	taste-wave:craft-music-transformation	Reworks expression while preserving the underlying task; apt for compiled program variants.	revoice / Revoice	May suggest a speech-only product.	taste-revoice	unreviewed	unassigned
Rescore	taste-wave:craft-music-transformation	Captures both evaluating again and rewriting a score from evidence.	rescore / Rescore	Could read as a narrow metrics utility.	taste-rescore	unreviewed	unassigned
Hocket	taste-wave:craft-music-transformation	Builds one line through interlocking alternating voices; resonates with BEAM composition.	hocket / Hocket	Obscure term with uncertain pronunciation.	taste-hocket	unreviewed	unassigned
Aximet	taste-wave:meaningful-coinage	Joins explicit evaluation axes with measurement in a compact mechanism word.	aximet / Aximet	Axi may be heard as axiom, implying stronger formal guarantees than exist.	taste-aximet	unreviewed	unassigned
Evalence	taste-wave:meaningful-coinage	Suggests measured worth and the binding potential of candidate program forms.	evalence / Evalence	Chemistry is the stronger unaided reading.	taste-evalence	unreviewed	unassigned
Evalect	taste-wave:meaningful-coinage	Names the recurring evaluate-and-select motion of optimization.	evalect / Evalect	Can narrow optimization to selection and sound like elect.	taste-evalect	unreviewed	unassigned
Metraxis	taste-wave:meaningful-coinage	Encodes measured practice: programs improved through evidence-bearing action.	metraxis / Metraxis	The morpheme boundary may not be immediately recoverable.	taste-metraxis	unreviewed	unassigned
Telomet	taste-wave:meaningful-coinage	Pairs an objective with its measure, central to metric-directed optimization.	telomet / Telomet	Echoes telomere and other biotechnology vocabulary.	taste-telomet	unreviewed	unassigned
Teloprax	taste-wave:meaningful-coinage	Names purpose-directed action without restricting the optimized artifact type.	teloprax / Teloprax	The Greek compound is hard-edged and slightly academic.	taste-teloprax	unreviewed	unassigned
Typrax	taste-wave:meaningful-coinage	Connects typed textual signatures to callable, operational program values.	typrax / Typrax	May imply compile-time type safety beyond the project's claims.	taste-typrax	unreviewed	unassigned
Praxeme	taste-wave:meaningful-coinage	Suggests a composable unit of executable practice, analogous to a lexeme.	praxeme / Praxeme	Feels like specialist terminology and may imply indivisibility.	taste-praxeme	unreviewed	unassigned
Lexact	taste-wave:meaningful-coinage	Captures the transition from declared language to executable behavior.	lexact / Lexact	May be heard as Lex Act or mistaken for exact.	taste-lexact	unreviewed	unassigned
Lexurgy	taste-wave:meaningful-coinage	Names the practical craft of transforming language-bearing artifacts.	lexurgy / Lexurgy	Can echo liturgy and requires explanation of the roots.	taste-lexurgy	unreviewed	unassigned
Enacta	taste-wave:meaningful-coinage	Combines making a declaration operative with retaining records of what ran.	enacta / Enacta	Legal enactment is a plausible competing interpretation.	taste-enacta	unreviewed	unassigned
Invaria	taste-wave:meaningful-coinage	Suggests stable contracts and lineage maintained across program variation.	invaria / Invaria	May imply formally proven invariants.	taste-invaria	unreviewed	unassigned
Bulkhead	taste-wave:operations-mechanisms	Isolates failures, providers, and execution domains.	bulkhead / Bulkhead	Strong nautical and aviation association.	taste-bulkhead	unreviewed	unassigned
Busbar	taste-wave:operations-mechanisms	Carries shared signals across BEAM-native components.	busbar / Busbar	Electrical specificity may narrow perception.	taste-busbar	unreviewed	unassigned
Deadband	taste-wave:operations-mechanisms	Encodes tolerance before optimization takes action.	deadband / Deadband	Dead may feel inert or negative.	taste-deadband	unreviewed	unassigned
Junction	taste-wave:operations-mechanisms	Converges providers, tools, metrics, and program branches.	junction / Junction	Broad and highly generic.	taste-junction	unreviewed	unassigned
Shunt	taste-wave:operations-mechanisms	Redirects execution and evaluation branches concisely.	shunt / Shunt	Medical and electrical meanings can feel harsh.	taste-shunt	unreviewed	unassigned
Switchgear	taste-wave:operations-mechanisms	Fits operational switching across supervised BEAM systems.	switchgear / Switchgear	Strongly electrical and somewhat enterprise-heavy.	taste-switchgear	unreviewed	unassigned
Entail	taste-wave:formal-linguistic	Links explicit conditions to outputs and evaluated claims.	entail / Entail	Implies logical necessity beyond stochastic behavior.	taste-entail	unreviewed	unassigned
Grapheme	taste-wave:formal-linguistic	Treats text as structured, inspectable material rather than prompt glue.	grapheme / Grapheme	Too focused on character-level structure.	taste-grapheme	unreviewed	unassigned
Judgment	taste-wave:formal-linguistic	Combines typed assertion with an evidence-backed evaluation decision.	judgment / Judgment	Moral and legal tone; spelling varies by region.	taste-judgment	unreviewed	unassigned
Lexeme	taste-wave:formal-linguistic	A compact meaning-bearing unit suits typed textual parameters.	lexeme / Lexeme	May make the system seem word-level only.	taste-lexeme	unreviewed	unassigned
Predicate	taste-wave:formal-linguistic	Metrics, constraints, and callable conditions already behave as predicates.	predicate / Predicate	Generic technical term that may imply Boolean-only evaluation.	taste-predicate	unreviewed	unassigned
Sequent	taste-wave:formal-linguistic	Mirrors an ordered relation from declared inputs to outputs.	sequent / Sequent	Obscure and suggestive of formal verification.	taste-sequent	unreviewed	unassigned
Swage	taste-wave:craft-music-transformation	Shapes material through controlled pressure; a compact metaphor for bounded program transformation.	swage / Swage	Meaning and pronunciation are unfamiliar.	taste-swage	unreviewed	unassigned
Ferrule	taste-wave:craft-music-transformation	Reinforces the boundary where distinct parts meet; apt for adapters and interfaces.	ferrule / Ferrule	Spelling and pronunciation burden.	taste-ferrule	unreviewed	unassigned
Collet	taste-wave:craft-music-transformation	Holds a workpiece within exact, releasable bounds; maps to controlled execution.	collet / Collet	Very niche machinery vocabulary.	taste-collet	unreviewed	unassigned
Ligature	taste-wave:craft-music-transformation	Binds marks or voices into a functional whole; connects language, code, and music.	ligature / Ligature	Medical connotations and a longer namespace.	taste-ligature	unreviewed	unassigned
Drawplate	taste-wave:craft-music-transformation	Pulls variable material through a defined aperture into precise form; a strong signature metaphor.	drawplate / Drawplate	Industrial and relatively unfamiliar.	taste-drawplate	unreviewed	unassigned
Intonate	taste-wave:craft-music-transformation	Tunes an utterance's form and delivery; bridges language with iterative adjustment.	intonate / Intonate	Less familiar than intonation.	taste-intonate	unreviewed	unassigned
Axioprax	taste-wave:meaningful-coinage	Frames declared structures as principles put into executable practice.	axioprax / Axioprax	Dense and academic; may overstate axiomatic rigor.	taste-axioprax	unreviewed	unassigned
Leximet	taste-wave:meaningful-coinage	Places language artifacts under explicit, evidence-bearing measurement.	leximet / Leximet	May sound limited to lexical metrics rather than whole programs.	taste-leximet	unreviewed	unassigned
Semact	taste-wave:meaningful-coinage	Suggests meaning-bearing structures that can be run, tested, and transformed.	semact / Semact	Pronunciation is uncertain and semantic may sound overbroad.	taste-semact	unreviewed	unassigned
Syntacta	taste-wave:meaningful-coinage	Frames structured declarations as executable and retainable acts.	syntacta / Syntacta	Could overemphasize syntax rather than evaluation and optimization.	taste-syntacta	unreviewed	unassigned
Veracta	taste-wave:meaningful-coinage	Evokes evidence-bearing records of runs, judgments, and transformations.	veracta / Veracta	The truth root risks overstating correctness.	taste-veracta	unreviewed	unassigned
Formifex	taste-wave:meaningful-coinage	Names a mechanism that makes and remakes executable artifact forms.	formifex / Formifex	The Latin construction may feel taxonomic or opaque.	taste-formifex	unreviewed	unassigned
