display	candidate_id	best_rank	elixir	research	platform	commercial	company	protocol	wildcard	pareto_roles	flags	dissent
Decla	cand-b446b5da40dff3f2	177	B/177	B/179	B/187	B/330	C/384	B/178	no	6	1	0
Field Note	cand-e8c9c5c106eb2679	178	B/240	B/199	B/227	B/178	B/202	B/235	no	6	0	0
Fault Domain	cand-432d49d7e0ba1aff	179	B/179	B/236	B/277	B/239	B/261	B/259	no	5	0	0
Ostinato	cand-a339a0680b7ef761	180	B/281	B/290	B/180	B/332	B/281	B/236	no	6	1	0
Ground Condition	cand-934e4ba88072bcec	181	B/200	B/198	B/181	B/210	B/213	B/189	no	0	0	0
Bounded by Evidence	cand-a1c60959bc809aa8	182	C/594	B/182	B/320	B/335	B/327	B/279	no	6	0	0
Brickline	cand-eb8125aeaec3a7a8	182	B/308	B/332	B/239	B/191	B/182	B/268	no	5	0	0
Finding Machine	cand-65ffbdc8bd33c2ad	184	B/340	B/387	B/247	B/197	B/184	B/335	no	5	0	0
Observation Works	cand-37dfd1566c0da01b	184	B/414	B/184	B/325	B/302	B/348	B/260	no	0	0	0
Contractory	cand-a08714d4e02a9583	185	B/243	B/216	B/185	B/232	B/226	B/215	no	0	0	0
Immutable Grove	cand-43af4a9efb60d39a	186	B/293	B/258	B/266	B/200	B/186	B/316	no	6	0	0
Program.Switchboard	cand-36cd1458dba516ad	188	B/188	B/202	B/236	B/222	B/265	B/248	no	6	0	0
Kind Compiler	cand-46f53ff84c63ca5e	189	B/339	B/386	B/292	B/189	B/193	B/410	no	6	0	0
Commedia	cand-e32f657b6fe0d933	190	B/267	B/293	B/259	B/190	B/206	B/303	no	6	0	0
Contractwise	cand-a1f66293d3e0c4a4	191	B/251	B/248	B/191	B/203	B/215	B/192	no	6	0	0
Homeostat	cand-43f003dd480df883	191	B/408	B/286	B/235	B/233	B/191	B/253	no	6	0	0
Confidence Ledger	cand-ebd2ef92fcf6537f	193	B/219	B/215	B/267	B/193	B/241	B/219	no	0	0	0
Keep Score	cand-53fc9512bafdfb8e	194	B/294	B/255	B/339	B/194	B/266	B/352	no	6	0	0
Uvara	cand-c5cf974582a859dc	195	B/392	B/269	B/222	B/343	B/263	B/195	no	6	0	0
Looplet	cand-f7f6681bf74bfb78	197	B/197	B/280	B/253	B/270	B/297	B/290	no	5	1	0
Qalara	cand-c4d1e24d054fb710	197	B/368	B/276	B/209	B/303	B/222	B/197	yes	0	0	0
Echo Echo	cand-77a2f4f32dde9a0a	198	B/397	C/452	B/363	B/209	B/198	C/486	no	6	0	0
Spawnmark	cand-99d1596b5b7cf803	198	B/198	B/350	C/448	B/337	C/430	B/466	no	0	0	0
Caliper	cand-58783b218b78dfcf	199	B/199	B/220	B/288	C/402	C/577	B/227	no	6	3	0
Yieldcraft	cand-fa0d6f97d610155d	199	B/206	B/214	B/232	B/199	B/220	B/208	no	5	0	0
Northing	cand-d15936fca1f483c7	201	B/229	B/253	B/226	B/215	B/201	B/230	no	6	0	0
Stewardry	cand-94801fed5cc5f45e	201	B/352	B/336	B/201	B/257	B/227	B/267	no	5	0	0
Optimization Backplane	cand-f0f6727fc17ce621	202	C/446	B/208	B/231	B/280	B/231	B/202	no	6	0	0
Transit Map	cand-33069ab39691206f	202	B/375	B/310	B/245	B/202	B/204	B/289	no	6	0	0
Draft Council	cand-b16ef2642a6d3f6b	203	B/391	B/300	B/313	B/205	B/203	B/308	no	0	0	0
Transforma	cand-b058eaa52a55c0db	203	B/204	B/232	B/224	B/321	B/355	B/203	no	0	1	0
Tend	cand-4f0a1f5aef53e953	205	B/205	B/348	B/295	C/448	C/488	B/323	no	6	3	0
The Margins	cand-ef093eb04a3f20d0	208	C/440	B/320	B/290	B/231	B/208	B/357	yes	6	0	1
Archive Bloom	cand-0bf05e19fce2edb8	209	B/381	B/419	B/314	B/243	B/209	B/377	no	5	0	0
Receipt	cand-6f32860910ca0fb2	209	B/209	B/252	B/213	B/273	B/280	B/234	no	6	1	0
Scope Token	cand-8d6c88cbd8838009	210	B/210	B/260	B/296	B/252	B/311	B/250	yes	6	0	0
Revise	cand-aa53d35cdecfe4a2	211	B/211	B/217	B/338	C/465	C/650	B/275	no	6	3	0
Tukut	cand-a8bfbe9a0cdce3a9	211	C/497	C/468	B/271	B/351	B/211	B/338	no	6	0	0
Damping	cand-fc738e51f9ec905c	212	B/283	B/259	B/289	B/295	B/330	B/212	no	0	0	0
Manytime	cand-51735085f8d1b9f2	212	B/329	B/356	B/230	B/261	B/212	B/292	no	6	0	0
Process Boundary	cand-32fd87a8050468ed	215	B/215	B/307	C/485	C/433	C/540	B/434	no	6	0	0
Descendant	cand-ae8783437e5ad31c	217	B/231	B/229	B/225	B/298	B/312	B/217	no	0	1	0
Elynd	cand-183487a3159c0890	218	B/259	B/262	B/218	B/309	B/234	B/224	no	6	0	0
Maybe Better, Measured	cand-7ba22a8edc8c144e	218	C/577	B/218	B/359	B/362	B/319	B/332	no	6	0	0
Probli	cand-6d10977680e5773e	218	B/303	B/357	B/220	B/262	B/218	B/287	no	0	0	0
Ask Twice	cand-9abac30a95271bb0	219	B/309	B/360	B/407	B/219	B/264	B/459	no	6	0	0
Telari	cand-389efd3ad231e3a3	219	B/323	B/309	B/219	B/297	B/245	B/238	no	5	0	0
ZingZag	cand-3a9fc3226e8eb086	219	C/483	C/573	B/368	B/282	B/219	C/511	yes	6	0	0
Local Optimum	cand-018b68bc7b10bf8b	220	C/452	B/238	B/276	B/228	B/235	B/220	no	6	0	0
Testprint	cand-a8d37935dbc3e749	220	B/220	B/308	B/357	B/373	C/541	B/353	no	6	1	0
Measure Twice	cand-caa4fd228fdcbe6c	221	B/413	B/353	B/377	B/221	B/229	B/464	no	6	0	0
Polyreturn	cand-c6b6d3e5ad325168	221	B/359	B/330	B/254	B/256	B/221	B/274	no	0	0	0
Runtime.Backplane	cand-97d556823c8d7347	221	B/255	B/221	B/315	C/408	C/448	B/233	no	5	0	0
Ancestry Loop	cand-c88fe8f6be27c380	223	B/296	B/289	B/229	B/245	B/223	B/244	no	6	0	0
Program.Backplane	cand-5a19469f3b41c1bc	223	B/223	B/227	B/286	B/347	C/412	B/245	no	0	0	0
Actionline	cand-f53d8cf4c0c4a86c	224	B/224	B/273	B/319	B/308	C/394	B/299	no	0	1	0
Findings Kit	cand-d1dd00695cccdcee	224	B/311	B/224	B/373	B/294	B/373	B/314	no	0	0	0
Capability Envelope	cand-a0dc4f24ca1dd225	225	C/592	B/257	B/258	B/291	B/225	B/261	yes	6	0	0
Process Island	cand-f0810e7306f96dad	227	B/227	B/328	B/349	B/249	B/273	B/401	no	5	0	0
Read the Receipt	cand-24e4465db034515e	227	B/369	B/266	B/317	B/227	B/246	B/420	no	6	0	0
Morna	cand-71645369f0fea194	230	B/312	B/380	B/310	B/276	B/230	B/333	yes	5	0	0
Callable Runtime	cand-e7e8d558f66a56bf	231	C/439	B/231	C/549	C/593	C/745	B/298	no	6	0	0
MimoMimo	cand-788fb59c2c233a60	232	C/772	C/713	B/418	C/412	B/232	C/627	yes	6	0	0
Remedy Desk	cand-72046e28add1b533	233	C/583	C/613	C/463	B/274	B/233	C/599	no	6	0	0
Switchyard	cand-3e865a8f1fca8d39	233	B/233	B/416	B/312	C/473	C/549	B/362	yes	6	3	0
Flowgate	cand-bb1fc19ac4b9a238	234	B/234	B/317	B/329	C/436	C/547	B/301	no	6	2	0
Measurecraft	cand-5e9bcf9fe73a21d4	234	B/401	B/234	B/274	B/266	B/286	B/254	no	0	0	0
Mend	cand-7f1f4f910a8324e2	236	B/236	B/421	B/336	C/446	C/532	B/422	no	6	3	0
Policyturn	cand-5b46ebc2a7cbfdc9	236	B/356	B/323	B/287	B/271	B/236	B/265	no	0	0	0
Doubt Machine	cand-178b371546525a18	237	B/347	C/456	B/345	B/237	B/252	B/436	yes	6	0	0
Hand Over	cand-1bebe8c370515c20	237	C/597	B/435	B/351	B/301	B/237	B/341	no	6	0	0
Hortus	cand-f7e31f554a8c168a	237	B/248	B/281	B/237	B/338	B/328	B/271	no	6	1	0
Remnantweave	cand-e8f2fcbd36ad4c29	238	B/371	B/282	B/240	B/296	B/238	B/281	no	0	0	0
Bufferline	cand-9f2db64ce73fc36a	239	B/239	B/311	B/364	B/284	B/349	B/324	no	0	0	0
References-First Runtime	cand-129d33fc16cb9947	239	C/733	B/239	B/346	C/425	B/359	B/296	no	6	0	0
Artifact Pipeline	cand-b11e561d400a4781	242	B/349	B/242	B/381	C/442	C/575	B/252	no	6	0	0
Pactera	cand-9db3306400d08816	242	C/585	C/485	B/301	B/363	B/242	B/349	no	0	0	0
Practica	cand-cf22a8a09367f980	242	B/242	B/270	B/293	B/388	C/426	B/263	no	5	1	0
Modulogue	cand-9d534e6059bdc4b6	243	B/262	B/243	B/280	B/316	B/340	B/282	yes	0	0	0
Pluralis	cand-84afa517a96d12d3	243	B/269	B/247	B/256	B/304	B/287	B/243	no	0	0	0
DapDap	cand-bfa4619c9ff2d5fe	244	C/514	C/519	B/328	B/374	B/244	B/396	no	0	0	0
Speclet	cand-07702b5e545d0cdd	244	B/244	B/447	C/522	C/500	C/669	C/519	no	0	1	0
Form.Contract	cand-946e8b137f6ebb4d	245	B/245	B/365	C/493	C/492	C/644	B/409	no	0	0	0
Retune	cand-71eb4fc726a3976d	246	B/246	B/305	B/414	C/611	C/758	B/329	no	0	2	0
Theseus Index	cand-632a7e5305e4590d	247	C/599	C/467	B/294	B/345	B/247	B/348	no	0	0	0
Runtime.Program	cand-4e02022dab589978	249	B/348	B/249	C/611	C/811	C/1045	B/309	no	6	0	0
Ruvia	cand-8abe390407db4a5d	249	B/327	B/299	B/297	B/310	B/249	B/249	no	6	0	0
Guildmode	cand-c79fb58a115fd66b	250	B/321	B/339	B/324	B/250	B/254	B/317	yes	5	0	0
Labscript	cand-d73740dacaf4bcf0	250	B/250	B/302	B/374	C/526	C/689	B/319	no	6	2	0
Pareto Trace	cand-2a6561dd86aadfc2	251	B/357	B/251	B/318	B/286	B/334	B/255	no	0	0	0
Trialform	cand-9922cf093f14e21e	254	B/264	B/254	B/308	B/289	B/315	B/266	no	0	0	0
Quiet Channel	cand-670bdda511ea2916	255	C/500	C/478	B/406	B/285	B/255	B/453	no	6	0	0
Measured Help	cand-3ebb3bd907ab9f7c	256	B/317	B/256	B/394	B/328	B/371	B/311	no	0	0	0
Artifact.Control	cand-2ff26636a097e4c5	257	B/333	B/314	B/263	C/409	B/364	B/257	no	0	0	0
Ortaq	cand-b4bcdafba592d37b	257	B/257	B/284	B/302	B/320	B/307	B/291	no	6	0	0
Program Commons	cand-f03b13ed95b32e4a	258	C/533	C/538	B/304	B/319	B/258	B/400	no	6	0	0
Softstop	cand-42f6b5da77c9de32	258	B/292	B/362	B/361	B/258	B/275	B/361	yes	0	0	0
Boundary Child	cand-60b8c10d0e3914b3	261	B/261	B/438	C/585	C/459	C/587	C/588	no	0	0	0
Amoni	cand-f52e6b7599a67ba3	262	B/313	B/335	B/265	C/503	C/434	B/262	no	0	1	0
Tender Baselines	cand-ef80f7ae3e06e2c1	262	C/506	B/342	B/334	B/263	B/262	B/383	yes	6	0	0
Artifact.Route	cand-6f9535d978ff3a32	264	C/435	B/306	B/306	C/514	C/477	B/264	no	6	0	0
Edit Desk	cand-3bf59309fb665043	265	B/398	B/397	B/411	B/265	B/288	B/391	no	0	0	0
Signpost	cand-84359f255ff0f6aa	265	B/265	B/285	B/340	C/474	C/589	B/300	no	6	3	0
Scorekeeper	cand-fbcaa177be170610	266	B/266	B/298	B/353	C/406	C/574	B/336	yes	6	2	0
Human Interval	cand-f77cfad9c825b333	267	C/464	B/333	B/354	B/290	B/267	B/355	no	6	0	0
Ordinary Program	cand-a2936b4a50c3cb2c	267	B/287	B/267	C/542	C/434	C/622	B/388	no	6	0	0
Tukey Ledger	cand-be36312b87936889	267	B/384	B/292	B/291	B/267	B/283	B/293	no	0	0	0
Bounder	cand-8477a98f3cc04a01	268	B/268	B/329	B/341	B/277	B/308	B/315	no	6	0	0
Measured Mote	cand-5aebdf5bfdd8858d	268	B/314	B/271	B/299	B/278	B/268	B/302	no	0	0	0
Succession	cand-a130ddbc4e7fc2b9	269	B/300	C/525	B/269	C/471	C/428	B/356	no	6	2	0
Module.Dispatch	cand-a6cc720975db4ff6	270	B/270	B/364	C/528	C/679	C/866	B/369	no	0	0	0
Signatura	cand-68bef6f86606449e	271	B/271	B/321	B/281	C/423	C/442	B/304	no	0	1	0
Handrail	cand-589e723490b7f155	272	B/272	B/374	B/378	B/327	C/411	B/389	no	6	1	0
Quiet Loop	cand-c67d825924ce1e2e	272	B/425	B/400	B/376	B/300	B/272	B/428	yes	0	0	0
Mailbox Loom	cand-7e79c261a9c970c3	273	B/273	C/544	C/621	C/461	C/495	C/692	no	6	0	0
Capacity Gate	cand-b407ef98637cac7e	274	B/274	B/355	C/530	C/407	C/507	B/385	no	0	0	0
Forkever	cand-faa459bf01d7aad4	274	B/335	C/466	B/358	B/288	B/274	B/429	no	6	0	0
Program	cand-1310ca2c8932dbd1	275	B/277	B/275	C/458	C/821	C/1057	B/280	no	6	3	0
Program With Receipts	cand-63a6b2ec8d8bdfbc	275	C/756	B/345	C/501	B/275	B/290	C/621	no	6	0	0
Treadle	cand-fa2dcc179e78832e	275	B/275	B/368	B/347	C/432	C/461	B/364	no	5	1	0
Gridline	cand-c54d030bae694e05	276	B/276	B/394	B/408	C/502	C/612	B/375	no	6	2	0
Threshold	cand-497e22fe854a24bc	276	B/299	B/296	B/307	C/456	C/543	B/276	no	6	3	0
Trace Switchboard	cand-2bb666e2de4d9730	277	B/318	B/277	C/457	B/387	C/523	B/337	no	6	0	0
Kavra	cand-ea092e5c049f4c9f	278	B/331	C/497	B/356	B/339	B/278	B/442	no	0	0	0
Nulo	cand-5267323e8b6d9d27	278	B/395	B/443	B/278	C/400	B/300	B/306	no	0	0	0
Search Space	cand-e24757f1abe666e8	278	C/457	B/313	B/365	C/458	C/564	B/278	no	0	0	0
Declared Programs	cand-bfd684916a190bd4	279	C/539	B/279	C/624	C/677	C/812	B/398	no	6	0	0
Sona	cand-9a5a846499c7f459	279	B/351	C/479	B/279	B/367	B/299	B/374	no	6	3	0
Trace Grace	cand-d3cfc76bbfc8f4c5	279	B/302	B/343	B/384	B/279	B/294	B/426	no	6	0	0
Voroa	cand-046798f55d8da5fa	283	C/508	C/496	B/283	C/464	B/305	B/327	no	6	0	0
Blastwall	cand-436390383ab01cc7	284	B/332	C/600	C/439	B/287	B/284	C/567	no	6	0	0
Statefold	cand-1e57186a6aced872	285	B/285	B/426	B/428	C/595	C/673	B/411	no	0	1	0
Revocable Runtime	cand-6adc3b37e2778a29	286	C/557	B/304	B/360	C/440	C/425	B/286	no	5	0	0
Program.Mesh	cand-93f889bf2d7bb41e	287	B/319	B/287	B/362	C/542	C/617	B/321	no	0	0	0
Aftermetric	cand-539a5b3f91dba2a5	288	C/521	B/327	B/323	B/381	B/370	B/288	no	0	0	0
Sideguide	cand-050a8a67242b5a0a	289	C/509	B/406	B/399	B/322	B/289	B/402	no	0	0	0
Reclare	cand-988e873592b169b8	290	B/290	B/334	B/305	B/325	B/354	B/310	no	0	1	0
Editorial Assembly	cand-2ee7cf35892a8dfe	291	C/511	B/367	B/344	B/348	B/291	B/394	yes	0	0	0
Timefold	cand-eb7e36b9ef0fa567	291	B/291	C/494	B/332	C/525	C/501	B/423	yes	6	1	0
Commonrail	cand-9c168f7f01899a73	293	B/307	B/434	B/337	B/293	B/295	B/384	no	6	0	0
Lumae	cand-e98c65cb29522662	293	C/490	C/487	B/366	B/371	B/293	B/379	no	6	0	0
Derivative Line	cand-bbc11f91d8f388a3	296	C/695	C/654	C/443	C/396	B/296	C/553	no	6	0	0
Hinge	cand-7706c3c94d5f9b59	297	B/297	B/376	B/298	B/375	C/398	B/368	yes	6	3	0
Ravuqi	cand-fe1909087453e9f1	298	B/360	B/358	B/311	B/391	B/298	B/305	no	6	0	0
Span	cand-37a0025aa1f2e29f	298	B/298	C/631	C/716	C/728	C/913	C/677	no	6	3	0
Lineage Search	cand-039ffc8f163ef54c	301	C/620	B/301	C/507	C/505	C/594	B/381	no	6	0	0
Plainspoken	cand-f61f55b3326f2075	301	B/301	B/402	C/470	B/318	C/399	B/455	no	0	0	0
Ternarytide	cand-c94c0a8424c5b552	301	C/645	C/624	C/441	C/427	B/301	C/506	no	6	0	0
Check Chime	cand-f03354d43a159318	302	B/374	B/409	B/417	B/305	B/302	B/440	no	0	0	0
Empirical Program	cand-4f20ce04e6f0ed7f	303	C/704	B/303	B/401	C/452	C/438	B/325	no	6	0	0
Rejoin	cand-a58e6e7f676cce7a	305	B/305	C/489	C/483	C/539	C/579	C/492	no	0	2	0
Draftline	cand-5341f30c9895c183	306	B/306	B/372	B/380	C/515	C/568	B/351	no	0	1	0
Local Rules	cand-4704e1a357e7c54e	306	C/515	B/423	C/476	B/311	B/306	B/461	no	0	0	0
Shadow Price	cand-231b7180f52a8c4b	309	C/611	C/558	B/382	B/369	B/309	B/462	no	0	0	0
Continuum Mesh	cand-e9dfebc2ba7b06a0	310	C/623	C/625	B/415	C/399	B/310	B/468	no	0	0	0
Scorecard	cand-8fad3e916b98df98	310	B/310	B/347	C/511	C/509	C/693	B/371	no	6	2	0
Planbridge	cand-7d3e3d30e15c6416	312	C/498	B/352	B/367	B/376	C/403	B/312	no	0	0	0
Echoheir	cand-ba96a170f215b974	313	C/499	C/549	B/388	B/384	B/313	B/467	no	0	0	0
Benchproof	cand-c4c7e33d30a259d1	314	B/346	C/535	C/489	B/314	C/405	C/571	no	6	0	0
Beam.Flow	cand-a9ae02a2e0794e7c	315	B/315	B/433	C/826	C/708	C/977	C/750	yes	6	0	0
Quiet Result	cand-6ac50084f2cf4ed7	315	C/436	B/315	C/434	B/326	B/339	B/390	yes	5	0	0
Beamline	cand-e25fa2d4082aa3cf	316	B/316	C/616	C/632	C/819	C/939	C/645	no	0	2	0
Weather Glass	cand-74785a40d0cbeafe	316	C/606	C/453	C/487	B/341	B/316	C/481	yes	5	0	0
Recoverbook	cand-443a85203f2ebc64	317	C/570	C/572	C/490	B/350	B/317	C/538	no	0	0	0
Contestability Hook	cand-7e36b998ffec6a32	319	C/668	B/319	B/385	B/389	B/346	B/392	no	0	0	0
Reply Garden	cand-c08f60ab44e780d8	320	C/526	C/581	C/484	B/353	B/320	C/607	yes	6	0	0
Secular Vow	cand-8122365dd540f720	321	C/637	C/669	C/518	B/361	B/321	C/640	no	6	0	0
Shared Track	cand-d44ea9a38612e0eb	321	B/338	B/390	B/321	B/359	B/376	B/346	no	6	0	0
Calculance	cand-10592d7bd81dbdc1	322	B/330	B/381	B/322	B/331	B/322	B/328	no	6	0	0
Declar	cand-a3183374dfa67598	322	B/322	B/325	B/419	C/528	C/611	B/345	no	0	0	0
Declarative	cand-163cdcfcb7ad9fc4	322	B/432	B/351	C/519	C/831	C/997	B/322	no	6	3	0
Prior Art	cand-74eb02c5ee27b4c8	323	C/437	C/454	B/396	B/336	B/323	B/457	no	0	0	0
Ablation House	cand-68f90f5afa26ccb4	324	C/516	B/384	B/431	B/324	B/356	B/448	no	5	0	0
Maybe Better	cand-19bfac800e90b7e0	324	C/687	C/508	C/541	B/360	B/324	C/617	yes	6	0	1
Restart Ledger	cand-0454be98c17667c0	324	B/324	C/563	C/561	B/372	C/431	C/699	no	6	0	0
Footnote	cand-50c490aaee45ad3b	325	B/325	B/399	B/386	C/429	C/460	B/370	no	6	2	0
Zimble	cand-12c719e1d40a8b9a	325	B/386	B/446	B/405	B/349	B/325	B/404	no	5	0	0
Appeal	cand-da7e2d4b40b63f98	326	B/326	C/463	B/413	C/490	C/520	B/449	no	6	2	0
Provenance	cand-96d815328a42cb4e	326	B/417	B/326	C/436	C/803	C/923	B/326	no	0	4	0
Steward	cand-76faa0295e4f0a68	328	B/328	B/338	B/335	C/435	C/444	B/340	no	0	3	0
Drift Gauge	cand-565a2e505746f5aa	329	C/465	B/410	C/525	B/329	C/400	B/414	no	0	0	0
Revia	cand-dc91fbdeefb51fd2	329	B/403	C/475	B/330	C/395	B/329	B/399	no	0	0	0
Program Contracts	cand-2d938acfca3ce91f	331	C/547	B/331	C/532	C/501	C/572	B/412	no	6	0	0
Zelm	cand-8b47d661a885bf69	331	B/427	C/481	B/331	C/494	B/365	B/360	yes	5	0	0
Practicefield	cand-a66b4c3acfd401de	332	C/693	B/413	C/437	B/370	B/332	B/425	no	4	0	0
Ask What Changed	cand-48abd341887e63de	333	C/857	C/470	C/595	B/365	B/333	C/709	no	6	0	0
Calculary	cand-4901dc92f59edaf7	333	B/358	B/439	B/387	B/333	B/360	B/413	no	0	0	0
Rulebook	cand-72b6689cf49c7b5f	337	B/337	C/490	C/512	C/609	C/778	C/535	no	6	2	0
Tracekin	cand-74a59632733bc29e	338	B/361	B/388	B/350	B/352	B/338	B/354	no	0	0	0
Artifact IR	cand-336fb3a1a4dd0845	339	C/541	B/393	B/355	C/535	C/566	B/339	no	5	0	0
Protocol Notebook	cand-6716bbe92b66361c	340	C/494	B/340	B/433	C/426	C/478	B/373	no	0	0	0
Reason Record	cand-9a1153576eb2d1a9	340	C/450	B/382	B/421	B/340	B/361	B/439	no	0	0	0
Evalis	cand-9e7a85bf62956f37	341	B/373	B/341	C/469	C/616	C/763	B/372	no	0	2	0
Genba	cand-d4360b75c423a1dc	341	B/367	C/505	B/352	B/344	B/341	B/465	no	6	0	0
Procession	cand-5785c2e5f5e92f14	341	B/341	C/609	C/616	C/688	C/797	C/635	no	0	1	0
Chronofold	cand-2d47745b708c58bf	342	C/510	C/552	B/342	C/557	C/466	B/405	no	0	1	0
Score Draft	cand-0177e1bb482dca46	342	B/342	B/395	C/505	B/342	C/433	B/430	no	0	0	0
Telemetry Orchard	cand-4b2c5b2baa6fb0d7	342	C/595	C/722	C/582	B/364	B/342	C/722	no	0	0	0
Program Pallet	cand-a8541fe357bed052	343	B/416	B/349	B/409	B/346	C/388	B/343	no	0	0	0
Backthread	cand-ce4a509826d421e9	344	B/344	C/516	B/372	C/563	C/559	B/460	no	5	1	0
Carebound	cand-b73b5a4c5b816fbe	344	C/493	C/607	C/499	B/390	B/344	C/556	no	5	0	0
Revision Engine	cand-f2657422134fc289	344	B/390	B/370	B/397	C/453	C/536	B/344	no	0	0	0
Structure and Route	cand-43779a15d66d2fdd	344	C/737	B/344	C/699	C/731	C/857	C/485	no	6	0	0
Loomcraft	cand-ffbeae45f4610057	345	C/633	C/698	C/502	B/382	B/345	C/620	yes	5	0	0
Orriva	cand-319432904d335ab0	347	C/538	C/547	B/375	C/517	B/347	B/393	no	5	0	0
Program.Dock	cand-d7f861535aa6ecad	350	B/411	B/366	C/468	C/445	C/516	B/350	no	0	0	0
Recoursal	cand-687159d58a37e15f	350	C/721	C/633	C/450	C/469	B/350	C/541	yes	6	0	0
Practice Ledger	cand-f97d22eb9fea9e66	351	C/707	C/477	C/494	C/394	B/351	C/533	no	5	0	0
Jacquard Rehearsal	cand-20619d172fbe39d9	352	C/725	C/577	C/455	C/411	B/352	C/659	no	6	0	0
Brake Light	cand-40dd58be64d23868	353	C/576	C/780	C/592	B/358	B/353	C/756	no	6	0	0
Contract.Maybe	cand-826f21c2a6c8b134	353	B/353	B/404	C/635	C/660	C/811	C/507	yes	0	0	0
Candidate Set	cand-2138e27ad104169b	354	C/491	B/354	C/606	C/482	C/623	B/395	no	6	0	0
RhymeRun	cand-9da4a9b51d600b6f	354	B/419	C/515	C/477	B/354	B/363	C/508	no	0	0	0
Statemetry	cand-0085b4c6ae36e8d6	354	B/354	C/591	C/488	C/462	C/498	C/520	no	0	0	0
CueThread	cand-400c17e5e8ff5dcc	355	B/365	B/405	B/426	B/355	B/369	B/433	yes	0	0	0
Waymark	cand-fc5e5674ca535729	355	B/355	C/523	C/543	C/658	C/774	C/542	no	6	3	0
Retentionary	cand-06485b78d0dae51c	357	C/741	C/534	B/391	C/477	B/357	B/419	no	0	0	0
Playbook Commons	cand-25fe3af3f65ea5fb	358	C/686	C/524	C/498	C/410	B/358	C/546	yes	0	0	0
Resumary	cand-d7820c13d910dc69	358	B/407	B/369	B/371	C/413	C/408	B/358	no	0	0	0
Relayance	cand-995fc38d4fdbc00f	359	C/530	B/359	B/430	C/547	C/538	B/365	no	0	0	0
Stewardship	cand-d9031c7a59b5dc5d	359	C/635	C/471	B/432	C/540	C/462	B/359	no	0	0	0
Call Sheet	cand-e10f12ba78de714d	362	B/362	C/507	C/523	C/444	C/526	C/539	no	5	0	0
Contract Routing	cand-dd5c427c6f3aa225	363	C/609	B/363	C/685	C/598	C/704	C/476	no	0	0	0
Versionstem	cand-0932b1ee6d489b2e	363	C/470	B/424	B/369	C/479	C/417	B/363	yes	0	0	0
Temper	cand-ca98e82217aeefd8	364	B/364	C/503	C/464	C/556	C/629	C/488	no	6	3	0
Compositum	cand-57223f538d3df8f8	366	B/423	B/431	B/398	C/485	C/479	B/366	no	0	0	0
Semantistry	cand-06f704c73bc2f6e1	366	B/366	B/401	B/379	B/377	C/391	B/437	no	0	0	0
Teleonomy	cand-f63c3ef358d7aac6	366	C/548	B/436	B/392	C/439	B/366	B/380	no	6	0	0
Tiny Promise	cand-a890e50c38e7c679	366	C/591	C/590	C/673	B/366	C/409	C/672	no	6	0	0
Common Table	cand-2a2305d0f6d5cea7	367	C/689	C/506	C/466	C/424	B/367	B/451	no	5	0	0
Last Known	cand-d8cd5d851b6415d1	368	C/480	B/427	B/424	C/397	B/368	B/438	no	0	0	0
Proof Shelf	cand-4e89c9ec26628aea	368	C/519	C/589	C/537	B/368	C/389	C/615	no	0	0	0
Repertory	cand-b7ec61319904b3d7	370	C/472	B/414	B/370	C/541	C/518	B/403	no	5	1	0
Tunerly	cand-441f94cbb1f77383	370	B/370	B/411	C/503	B/379	C/457	B/407	no	6	0	0
Ablation Engine	cand-3871a41782c5bffb	371	C/655	B/371	C/513	C/404	C/480	B/421	no	6	0	0
Bracket	cand-11c1eee0e02516b1	372	B/372	C/472	C/526	C/687	C/828	B/454	no	6	3	0
Cairnledger	cand-ca6ff5877bf60892	372	B/429	C/469	B/402	B/380	B/372	B/456	no	0	0	0
Epistemic Status	cand-187f32f21786a848	373	C/688	B/373	C/444	C/475	C/418	B/417	no	0	0	0
Call What You Can Measure	cand-9708faf22243a895	375	C/910	B/375	C/558	C/506	C/450	C/579	no	6	0	0
Dear Metric	cand-f7c25e6e6e1c0298	375	C/672	C/645	C/608	C/393	B/375	C/687	yes	5	0	0
Lintel	cand-744551e0b7c09943	376	B/376	C/562	C/531	C/723	C/796	C/574	no	0	3	0
Call-and-Check	cand-5aa52022b1056905	377	C/447	B/377	C/706	C/636	C/850	C/543	no	0	0	0
Callable.Stack	cand-a7e03ca89fc8319c	377	B/377	B/378	C/529	C/581	C/676	B/431	no	0	0	0
Imprint	cand-e7444343ba0a70a2	378	B/409	B/441	B/395	C/619	C/670	B/378	no	5	3	0
Tracetext	cand-63f443ab28780965	378	B/378	B/448	C/702	C/531	C/718	C/526	no	6	0	0
Latch	cand-83b6a889a09a5360	379	B/379	C/626	C/509	C/569	C/626	C/586	no	6	3	0
Learning Bench	cand-9ebbea7fde20e9bf	379	C/486	B/379	C/617	C/538	C/682	B/445	no	0	0	0
Turing Margin	cand-dc858d222e04304f	379	C/602	C/592	B/427	C/415	B/379	C/505	no	0	0	0
Witness	cand-ba1c566a4bad288c	380	B/380	C/542	C/504	C/713	C/809	C/532	no	6	4	0
Keepafter	cand-9b2f5f6b8a450cea	381	C/642	C/493	B/429	C/472	B/381	B/458	no	0	0	0
Bearing	cand-ee48a9c289450df1	382	C/444	C/458	B/389	C/588	C/610	B/382	no	0	3	0
